n_ants,max_iter,alpha,beta,rho,avg_fitness,std_fitness,all_fitnesses
24,100,1.5,2.0,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,100,1.5,2.0,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,100,1.5,2.0,0.5,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,100,2.0,1.0,0.3,337.72779469815754,10.880120487988936,"[np.float64(327.68067660254025), np.float64(352.8437814137414), np.float64(332.658926078191)]"
24,100,2.0,1.0,0.4,325.8319465281889,6.608684109182543,"[np.float64(335.17803722483444), np.float64(321.1589011798662), np.float64(321.1589011798662)]"
24,100,2.0,1.0,0.5,327.5392751672472,6.190514747037153,"[np.float64(323.7186266666966), np.float64(322.6278919313899), np.float64(336.27130690365505)]"
24,100,2.0,1.5,0.3,318.51922451831297,1.8665332675241286,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(321.1589011798662)]"
24,100,2.0,1.5,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,100,2.0,1.5,0.5,319.00888810215423,2.5590221487926317,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(322.6278919313899)]"
24,100,2.0,2.0,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,100,2.0,2.0,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
24,100,2.0,2.0,0.5,322.35172116991663,3.7746727362884687,"[np.float64(326.1371506555169), np.float64(317.1993861875364), np.float64(323.7186266666966)]"
